Country Name,Country Code,Indicator Name,Indicator Code,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,1233930277,1440711396,1377375031,1411917558,1278781167,851174350.6,1115389732,1007791186,937741468,967338348.7,999477510.7,914500299.1,931833302.8,991387870.1,1139754799,1270080251,1337362392,1460561215,1697565949,1985240986,2059094048,2142591376,2437982840,2510126699,1691544192,1894813505,1695825708,1825018191,2072349794,2220978978,2220307369,2380087758
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,5.65E+11,5.94E+11,6.10E+11,5.92E+11,5.77E+11,5.78E+11,6.04E+11,6.29E+11,6.55E+11,6.34E+11,6.78E+11,7.45E+11,7.39E+11,7.61E+11,8.96E+11,1.03E+12,1.17E+12,1.32E+12,1.47E+12,1.55E+12,1.37E+12,1.62E+12,1.79E+12,1.83E+12,1.85E+12,1.81E+12,1.56E+12,1.53E+12,1.65E+12,1.73E+12,1.74E+12,1.65E+12
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,2.08E+11,2.66E+11,2.69E+11,2.80E+11,2.72E+11,3.02E+11,3.53E+11,3.40E+11,2.95E+11,3.04E+11,2.99E+11,2.80E+11,2.87E+11,3.10E+11,3.63E+11,4.06E+11,4.21E+11,4.44E+11,4.94E+11,5.70E+11,5.58E+11,6.03E+11,7.22E+11,6.92E+11,7.13E+11,7.34E+11,7.02E+11,6.96E+11,7.04E+11,7.36E+11,7.32E+11,7.52E+11
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,29885685143,33113887818,37834793730,45964327559,49297773130,57008425296,73447063319,78039572222,84952360922,81577430181,75173794497,77860932152,70979923960,69736811435,75643459840,99210392858,1.23E+11,1.55E+11,1.74E+11,1.80E+11,1.72E+11,2.19E+11,2.52E+11,2.67E+11,2.78E+11,2.61E+11,2.44E+11,2.50E+11,2.77E+11,2.98E+11,2.79E+11,2.53E+11
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,3.48E+11,3.61E+11,3.83E+11,4.27E+11,4.45E+11,5.64E+11,7.35E+11,8.64E+11,9.62E+11,1.03E+12,1.09E+12,1.21E+12,1.34E+12,1.47E+12,1.66E+12,1.96E+12,2.29E+12,2.75E+12,3.55E+12,4.59E+12,5.10E+12,6.09E+12,7.55E+12,8.53E+12,9.57E+12,1.05E+13,1.11E+13,1.12E+13,1.23E+13,1.39E+13,1.43E+13,1.47E+13
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,9757410614,10795850107,10492628915,11152971316,11045759469,8313557450,11000146839,18071153890,18047557172,19619653924,18870992456,16577533355,16810536884,18054384023,21251755294,23510577108,24036917017,25281414473,28760092035,34078243426,33886814907,34936305297,36693712825,36302305578,42760237561,48843008580,45814637971,47964234560,51588158718,58011466451,58539424930,61348579465
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,11012566161,12314482085,11840192674,12071775381,16181813512,8902446188,10864773037,11093539497,10789457915,11298144512,11565827386,10566578953,10953485244,12417251816,15970315751,18826215278,19509850837,20910513975,23928251334,27715144580,27932971683,27507499709,30630912185,30155064574,33728622819,36386546918,32210232912,33814337900,36098550142,39973839065,39670977333,40804449726
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,9021862775,9349764580,9633911368,8227200892,10706246371,5840529412,5647034188,5772020526,6091061291,6215716712,4711259427,19088046306,7438189100,8728038525,8937567060,10297483481,11964484668,14451902468,16737071816,19788515874,18648373312,21565720044,25839749199,29306235826,32679745298,35909040266,37917704900,37134799975,38019265626,47146004587,50400747050,48716960860
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,2389593022,2798746051,2724853593,2933222714,2684323424,1769365425,2116003978,2540697688,2322718991,1949481297,2353909564,3227927593,2796704577,3034251042,3503723245,4656975223,6647357442,8065134528,8771102025,11602893043,9684321633,13135580695,15634897273,17693924573,17953617927,17889079958,11885478502,10215989995,11090177747,13670036996,12750339023,10187122341
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,39540080200,47844090710,49175565911,58418985443,66446804803,81703500846,92507279383,97160109278,1.07E+11,98443739941,86186158685,99886577331,98211749596,97963003805,94641378693,1.17E+11,1.46E+11,1.62E+11,2.06E+11,2.42E+11,2.32E+11,2.87E+11,3.35E+11,3.71E+11,3.82E+11,3.81E+11,2.93E+11,2.83E+11,3.12E+11,3.34E+11,3.23E+11,2.71E+11
